id,value
id_0,24.0
id_1,11.0
id_2,41.0
id_3,20.0
id_4,27.0
id_5,14.0
id_6,7.0
id_7,9.0
id_8,24.0
id_9,6.0
id_10,21.0
id_11,10.0
id_12,20.0
id_13,22.0
id_14,8.0
id_15,7.0
id_16,12.0
id_17,9.0
id_18,17.0
id_19,32.0
id_20,15.0
id_21,11.0
id_22,15.0
id_23,3.0
id_24,30.0
id_25,11.0
id_26,10.0
id_27,17.0
id_28,22.0
id_29,6.0
id_30,10.0
id_31,14.0
id_32,11.0
id_33,13.0
id_34,16.0
id_35,26.0
id_36,10.0
id_37,10.0
id_38,9.0
id_39,20.0
id_40,27.0
id_41,17.0
id_42,28.0
id_43,5.0
id_44,30.0
id_45,21.0
id_46,8.0
id_47,38.0
id_48,13.0
id_49,17.0
id_50,6.0
id_51,18.0
id_52,20.0
id_53,21.0
id_54,10.0
id_55,15.0
id_56,6.0
id_57,12.0
id_58,13.0
id_59,3.0
id_60,19.0
id_61,19.0
id_62,4.0
id_63,13.0
id_64,12.0
id_65,9.0
id_66,31.0
id_67,22.0
id_68,11.0
id_69,37.0
id_70,9.0
id_71,4.0
id_72,11.0
id_73,19.0
id_74,12.0
id_75,7.0
id_76,9.0
id_77,7.0
id_78,14.0
id_79,4.0
id_80,11.0
id_81,7.0
id_82,23.0
id_83,4.0
id_84,18.0
id_85,4.0
id_86,6.0
id_87,11.0
id_88,6.0
id_89,24.0
id_90,29.0
id_91,19.0
id_92,7.0
id_93,5.0
id_94,18.0
id_95,17.0
id_96,10.0
id_97,11.0
id_98,10.0
id_99,25.0
id_100,4.0
id_101,26.0
id_102,14.0
id_103,5.0
id_104,12.0
id_105,13.0
id_106,10.0
id_107,4.0
id_108,20.0
id_109,27.0
id_110,30.0
id_111,10.0
id_112,10.0
id_113,19.0
id_114,13.0
id_115,3.0
id_116,24.0
id_117,16.0
id_118,25.0
id_119,20.0
id_120,4.0
id_121,14.0
id_122,28.0
id_123,10.0
id_124,18.0
id_125,7.0
id_126,12.0
id_127,14.0
id_128,12.0
id_129,24.0
id_130,3.0
id_131,5.0
id_132,7.0
id_133,11.0
id_134,11.0
id_135,20.0
id_136,5.0
id_137,13.0
id_138,12.0
id_139,9.0
id_140,14.0
id_141,28.0
id_142,21.0
id_143,12.0
id_144,30.0
id_145,13.0
id_146,20.0
id_147,25.0
id_148,9.0
id_149,10.0
id_150,40.0
id_151,8.0
id_152,16.0
id_153,13.0
id_154,11.0
id_155,9.0
id_156,15.0
id_157,22.0
id_158,10.0
id_159,15.0
id_160,17.0
id_161,20.0
id_162,12.0
id_163,13.0
id_164,6.0
id_165,20.0
id_166,10.0
id_167,10.0
id_168,8.0
id_169,41.0
id_170,18.0
id_171,21.0
id_172,20.0
id_173,20.0
id_174,10.0
id_175,34.0
id_176,8.0
id_177,12.0
id_178,11.0
